App;Open;date
twitter;openedApp;2023-01-15T21:53:31Z
twitter;dismissedAppOpening;2023-01-15T22:04:02Z
twitter;dismissedAppOpening;2023-01-16T07:05:57Z
twitter;openedApp;2023-01-16T09:05:46Z
twitter;dismissedAppOpening;2023-01-16T15:06:32Z
twitter;dismissedAppOpening;2023-01-16T17:39:57Z
twitter;openedApp;2023-01-16T21:46:58Z
twitter;dismissedAppOpening;2023-01-16T21:52:20Z
twitter;openedApp;2023-01-16T21:52:34Z
twitter;dismissedAppOpening;2023-01-16T22:00:12Z
twitter;openedApp;2023-01-17T07:01:37Z
twitter;dismissedAppOpening;2023-01-17T07:05:49Z
twitter;openedApp;2023-01-17T07:06:10Z
twitter;openedApp;2023-01-17T09:02:32Z
twitter;dismissedAppOpening;2023-01-17T09:25:28Z
twitter;dismissedAppOpening;2023-01-18T06:32:33Z
twitter;dismissedAppOpening;2023-01-18T09:08:00Z
twitter;dismissedAppOpening;2023-01-18T19:49:25Z
twitter;dismissedAppOpening;2023-01-19T06:48:45Z
twitter;openedApp;2023-01-19T13:04:40Z
twitter;dismissedAppOpening;2023-01-19T13:17:33Z
twitter;openedApp;2023-01-20T09:22:25Z
twitter;dismissedAppOpening;2023-01-20T12:43:28Z
twitter;dismissedAppOpening;2023-01-20T18:47:30Z
twitter;openedApp;2023-01-21T08:01:54Z
twitter;dismissedAppOpening;2023-01-21T08:03:42Z
twitter;openedApp;2023-01-21T08:03:55Z
twitter;openedApp;2023-01-21T08:06:29Z
twitter;openedApp;2023-01-21T08:10:03Z
twitter;dismissedAppOpening;2023-01-21T10:01:39Z
twitter;openedApp;2023-01-21T15:25:08Z
twitter;dismissedAppOpening;2023-01-21T15:28:29Z
twitter;openedApp;2023-01-21T15:28:45Z
twitter;openedApp;2023-01-21T15:31:29Z
twitter;openedApp;2023-01-22T07:46:24Z
twitter;dismissedAppOpening;2023-01-23T14:15:34Z
twitter;openedApp;2023-01-24T07:09:50Z
twitter;dismissedAppOpening;2023-01-24T07:15:08Z
twitter;dismissedAppOpening;2023-01-24T07:15:11Z
twitter;openedApp;2023-01-24T07:15:41Z
twitter;dismissedAppOpening;2023-01-24T07:33:35Z
twitter;dismissedAppOpening;2023-01-25T08:40:08Z
twitter;openedApp;2023-01-26T06:01:55Z
twitter;openedApp;2023-01-26T06:03:19Z
twitter;openedApp;2023-01-27T08:21:19Z
twitter;openedApp;2023-01-27T08:45:27Z
twitter;openedApp;2023-01-27T08:47:38Z
youtube;dismissedAppOpening;2023-01-27T09:34:04Z
youtube;openedApp;2023-01-27T09:34:27Z
youtube;dismissedAppOpening;2023-01-27T15:45:45Z
youtube;openedApp;2023-01-27T15:45:56Z
youtube;dismissedAppOpening;2023-01-27T16:30:47Z
