ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Discord,Messenger,Communication ICT,3120,2
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,1920,10
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,1620,17
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,780,16
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,420,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Wetter,News,Entertainment,60,2
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,180,8
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Notizen,Notes,Study / Work ICT,120,3
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,padlet,Notes,Study / Work ICT,120,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Snapchat,Social Media,Social Media,120,10
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Post,Delivery,Other,120,12
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Dateien,System,Other,60,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,60,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,Kalender,System,Other,60,6
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,app,ios,FitnessFirst,Sport,Other,120,4
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,website,ios,avocadostore.de,Shopping ,Entertainment,60,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,website,ios,Google.de,Web Browser / Search Machine ,Other,240,1
hwyr5z1l,2023-04-24 00:00:00+00:00,phone,website,ios,taz.de,News,Entertainment,180,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,4980,10
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,1440,2
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,1140,30
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,420,8
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,360,6
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,240,10
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,180,11
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Dateien,System,Other,180,3
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Post,Delivery,Other,120,6
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Snapchat,Social Media,Social Media,120,2
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Amazon,Shopping ,Entertainment,120,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,MensaDarmstadt,Food,Other,120,4
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Discord,Messenger,Communication ICT,60,3
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,BeReal,Social Media,Social Media,60,2
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,mydealz,Shopping ,Entertainment,60,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,60,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,Kleinanzeigen,Shopping ,Entertainment,60,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,app,ios,onesec,Health / Wellbeing,Other,60,3
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,website,ios,uneffected.com,Shopping ,Entertainment,960,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,website,ios,google.de,Web Browser / Search Machine ,Other,900,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,website,ios,sevenheavens.de,Shopping ,Entertainment,300,1
hwyr5z1l,2023-04-25 00:00:00+00:00,phone,website,ios,hhv.de,Shopping ,Entertainment,240,1
hwyr5z1l,2023-04-25 00:00:00+00:00,tablet,app,ios,NotabilityUni,Study / Learning,Study / Work ICT,6180,2
hwyr5z1l,2023-04-25 00:00:00+00:00,tablet,app,ios,Safari,Web Browser / Search Machine ,Other,240,1
