ID;date;device;type;os;category;superCategory;time_spent;frequency
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;3120;2
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;1920;10
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;1620;17
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;780;16
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Video;Entertainment;420;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;News;Entertainment;60;2
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;180;8
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Notes;Study / Work ICT;120;3
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Notes;Study / Work ICT;120;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;10
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Delivery;Other;120;12
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;60;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;System;Other;60;6
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;app;ios;Sport;Other;120;4
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;website;ios;Shopping ;Entertainment;60;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;website;ios;Web Browser / Search Machine ;Other;240;1
hwyr5z1l;2023-04-24 00:00:00+00:00;phone;website;ios;News;Entertainment;180;1
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;4980;10
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Video;Entertainment;1440;2
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;1140;30
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;420;8
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;360;6
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Mobility;Other;240;10
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;180;11
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;System;Other;180;3
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Delivery;Other;120;6
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;2
hwyr5z1l;2023-04-25 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;120;1
