primarykey,ID,date,week,BS_week,WS_week,Communication.ICT,Entertainment,Other,Study...Work.ICT,Social.Media,Communication.ICT_frequency,Entertainment_frequency,Other_frequency,Study...Work.ICT_frequency,Social.Media_frequency,Communication.ICT_tablet,Entertainment_tablet,Other_tablet,Study...Work.ICT_tablet,Social.Media_tablet,Communication.ICT_frequency_tablet,Entertainment_frequency_tablet,Other_frequency_tablet,Study...Work.ICT_frequency_tablet,Social.Media_frequency_tablet,ST_Communication_PC,ST_Enterteinment_PC,ST_Other_PC,ST_study_work_PC,ST_social_media_PC,MO_Engagement,MO_Resource_Depletion,MO_Time_to_Bed,MO_Time_Asleep,MO_Time_Awake,MO_Time_Got_U,MO_Time_to_get_asleep,MO_sleep_time,MO_time_to_get_up,MO_Activity_planned_todo_Morning,MO_type_of_Activity_planned_Morning,MO_Cognitive_Well_Being,MO_Affective_Well_Being_Positive,MO_Affective_Well_Being_Negative,MO_Anger_Anxiety,MO_Sleep_Quality_Insomnia,EV_Activity_Check,EV_Activity_Planning_Evening,EV_System_Satisfaction_SP,EV_Challenge_IS_Use_Appraisal_SP,EV_Hindrance_IS_Use_Appraisal_SP,EV_IT_Mindfulness_Altertness_to_Distinction_SP,EV_IT_Mindfulness_Awareness_of_Multiple_Perspectives_SP,EV_IT_Mindfulness_Openness_to_Novelty_SP,EV_IT_Mindfulness_Orientation_to_the_Present_SP,EV_Absorption_Focused_Use,EV_Extraordinary,EV_Withdrawal_SP,EV_Overuse_Information_Overload_SP,EV_Cognitive_Well_Being,EV_Affective_Well_Being_Positive,EV_Affective_Well_Being_Negative,EV_Anger_Anxiety,EV_Peer_Satisfaction,EV_Performance,EV_Venting_Anger,EV_Rumination_Thinking_SP,EV_Interpersonal_Conflict_SP,EV_Gratitude_SP,EV_Engagement,EV_Resource_Depletion,BS_Big_5_reversed,BS_Big_5_trusting,BS_Big_5_lazy,BS_Big_5_relaxed,BS_Big_5_few_artistic_creative_interest,BS_Big_5_outgoing,BS_Big_5_find_fault_with_others,BS_Big_5_job,BS_Big_5_nervous,BS_Big_5_imaginagion,BS_Cognitive_Well_Being,BS_Affective_Well_Being,BS_Affective_Well_Being_Negative,BS_Anger_and_Anxiety,BS_Negative_Affectivity,BS_Personal_Innovativeness,BS_Use_Habit_SP,BS_Addiction_Scale_SP,BS_Controllability_SP,BS_IT_Identity_SP,BS_IT_Mindfulness_Altertness_to_Distinction_SP,BS_IT_Mindfulness_Awareness_of_Multiple_Perspectives_SP,BS_IT_Mindfulness_Openness_to_Novelty_SP,BS_IT_Mindfulness_Orientation_to_the_Present_SP,BS_Gratitude_SP,BS_IT_Self_Efficacy,BS_Social_Desirability,BS_Marker_Variable,WS_System_Satisfaction_SP,WS_Base_Time_SP,WS_Tracked_Time_SP,WS_Planned_Time_SP,WS_Withdrawal_SP,WS_Overuse_Information_Overload_SP,WS_Cognitive_Well_Being,WS_Affective_Well_Being_Positive,WS_Affective_Well_Being_Negative,WS_Anger_and_Anxiety,WS_Peer_Satisfaction,WS_Partner_Satisfaction,WS_Performance,WS_Venting_Anger,WS_Interpersonal_Conflict_SP,WS_System_Satisfaction_SP.1,WS_Routine_Use_SP,WS_Innovative_Use_SP,WS_Cognitive_Flexibility_SP,WS_Gratitude_SP,WS_Use_Habit_SP,WS_Addiction_Scale_SP,WS_Problematic_Use_All,WS_Challenge_IS_Use_Appraisal_SP,WS_Hindrance_IS_Use_Appraisal_SP,WS_IT_Identity_SP,WS_IT_Identity_Threat_Self_Worth_SP,WS_IT_Identity_Threat_Self_Efficacy_SP,WS_IT_Identity_Threat_Self_AuthenticitySP,WS_IT_Mindfulness_Altertness_to_Distinction_SP,WS_IT_Mindfulness_Awareness_of_Multiple_Perspectives_SP,WS_IT_Mindfulness_Openness_to_Novelty_SP,WS_IT_Mindfulness_Orientation_to_the_Present_SP
0ve8lh5z-2023-04-11,0ve8lh5z,2023-04-11,15,1.0,,5340.0,600.0,2280.0,120.0,6480.0,41.0,1.0,37.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-12,0ve8lh5z,2023-04-12,15,1.0,,5400.0,7500.0,4500.0,0.0,4440.0,64.0,30.0,66.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-13,0ve8lh5z,2023-04-13,15,1.0,,4440.0,5100.0,5760.0,600.0,3000.0,40.0,12.0,53.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-14,0ve8lh5z,2023-04-14,15,1.0,,4080.0,2400.0,4860.0,0.0,3780.0,44.0,14.0,95.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-15,0ve8lh5z,2023-04-15,15,1.0,,6840.0,29280.0,4800.0,120.0,6960.0,89.0,29.0,81.0,5.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-16,0ve8lh5z,2023-04-16,15,1.0,,6000.0,4920.0,7620.0,0.0,12300.0,60.0,28.0,182.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-17,0ve8lh5z,2023-04-17,16,1.0,,4440.0,2760.0,2100.0,180.0,3720.0,54.0,6.0,70.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-18,0ve8lh5z,2023-04-18,16,1.0,,4800.0,6180.0,5940.0,1380.0,4320.0,62.0,23.0,65.0,23.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-19,0ve8lh5z,2023-04-19,16,1.0,,10440.0,7980.0,6600.0,300.0,12960.0,56.0,13.0,62.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ve8lh5z-2023-04-20,0ve8lh5z,2023-04-20,16,1.0,,4860.0,32160.0,3000.0,120.0,6900.0,30.0,13.0,17.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,6.333333333,6.0,6.75,1.0,1.2,4.666666667,6.666666667,2.8,5.5,4.166666667,2.333333333,6.5,4.666666667,2.666666667,4.5,9.5,2.833333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
